location	lat	long
Alberta	55.001251	-115.002136
British Columbia	55.001251	-125.002441
Manitoba	55.001251	-97.001038
New Brunswick	46.500283	-66.750183
Newfoundland and Labrador	53.821733	-61.229553
Northwest Territory	43.804730	-71.845298
Nova Scotia	45.196040	-63.165379
Ontario	50.000678	-86.000977
Prince Edward Island	46.503545	-63.595517
Quebec	52.476089	-71.825867
Saskatchewan	55.532126	-106.141224
Yukon	63.000147	-136.002502
