type	id	lat	long
rta	H3A	45.5078	-73.5804
rta	H3B	45.5058	-73.5672
rta	H3C	45.503	-73.5679
rta	H3E	45.4679	-73.5457
rta	H3G	45.5019	-73.5853
rta	H3H	45.5123	-73.5967
rta	H3J	45.4922	-73.5725
rta	H3K	45.4858	-73.564
rta	H3L	45.5529	-73.6754
rta	H3M	45.5459	-73.6979
rta	H3N	45.5335	-73.6464
rta	H3P	45.5209	-73.653
rta	H3R	45.5181	-73.6545
rta	H3S	45.5155	-73.6292
rta	H3T	45.5115	-73.616
rta	H3V	45.4965	-73.6177
rta	H3W	45.4988	-73.6442
rta	H3X	45.4915	-73.6483
rta	H3Y	45.489	-73.618
rta	H3Z	45.4909	-73.5885
rta	H4A	45.4781	-73.6252
rta	H4B	45.4681	-73.636
rta	H4C	45.478	-73.5922
rta	H4E	45.468	-73.5863
rta	H4G	45.4644	-73.5798
rta	H4H	45.4532	-73.5818
rta	H4J	45.5353	-73.7231
rta	H4K	45.5248	-73.7392
rta	H4L	45.5269	-73.6974
rta	H4M	45.5067	-73.6906
rta	H4N	45.5329	-73.6807
rta	H4P	45.4991	-73.6722
rta	H4R	45.5148	-73.7309
rta	H4S	45.4958	-73.754
rta	H4T	45.4954	-73.6798
rta	H4V	45.4755	-73.6555
rta	H4W	45.478	-73.6704
rta	H4X	45.4575	-73.6649
rta	H4Y	45.5103	-73.6818
rta	H4Z	45.5003	-73.5621
rta	H5A	45.503	-73.5679
rta	H5B	45.5066	-73.5623
rta	H7A	45.6736	-73.5919
rta	H7B	45.6346	-73.6769
rta	H7C	45.6176	-73.6637
rta	H7E	45.6142	-73.669
rta	H7G	45.5565	-73.6791
rta	H7H	45.6429	-73.7494
rta	H7J	45.6837	-73.6728
rta	H7K	45.6121	-73.7898
rta	H7L	45.6303	-73.7802
rta	H7M	45.6089	-73.7331
rta	H7N	45.5772	-73.7007
rta	H7P	45.5917	-73.8293
rta	H7R	45.5483	-73.8578
rta	H7S	45.5732	-73.7444
rta	H7T	45.5569	-73.748
rta	H7V	45.5364	-73.7267
rta	H7W	45.549	-73.7641
rta	H7X	45.5359	-73.8231
rta	H7Y	45.5209	-73.8354
rta	H8N	45.4551	-73.6084
rta	H8P	45.4371	-73.5979
rta	H8R	45.4473	-73.6557
rta	H8S	45.4496	-73.6811
rta	H8T	45.4648	-73.7192
rta	H8Y	45.5145	-73.8162
rta	H8Z	45.5135	-73.8389
rta	H9A	45.5055	-73.823
rta	H9B	45.4937	-73.8132
rta	H9C	45.5141	-73.9012
rta	H9E	45.5106	-73.91
rta	H9G	45.4794	-73.8446
rta	H9H	45.4873	-73.8635
rta	H9J	45.469	-73.8862
rta	H9K	45.4643	-73.8936
rta	H9P	45.4617	-73.7305
rta	H9R	45.4748	-73.8207
rta	H9S	45.4409	-73.7733
rta	H9W	45.4407	-73.8727
rta	H9X	45.418	-73.9515
rta	J0A	45.6999	-72.0033
rta	J0B	45.242	-72.0177
rta	J0C	45.9914	-72.3216
rta	J0E	45.3973	-72.8797
rta	J0G	46.0668	-72.8043
rta	J0H	45.6125	-72.5205
rta	J0J	45.0784	-73.0291
rta	J0K	46.104	-73.256
rta	J0L	45.7317	-73.2793
rta	J0M	60.0342	-70.0118
rta	J0N	45.718	-73.6354
rta	J0P	45.4487	-74.1015
rta	J0R	45.8373	-74.1387
rta	J0S	45.0131	-74.1744
rta	J0T	46.2634	-74.7687
rta	J0V	45.7631	-74.4624
rta	J0W	46.7019	-75.437
rta	J0X	45.5234	-76.4392
rta	J0Y	48.4606	-78.1936
rta	J0Z	47.4822	-79.2102
rta	J1A	45.1563	-71.8095
rta	J1E	45.4301	-71.8901
rta	J1G	45.4038	-71.8853
rta	J1H	45.4117	-71.9074
rta	J1J	45.4242	-71.9188
rta	J1K	45.3928	-71.9441
rta	J1L	45.4053	-71.9387
rta	J1M	45.3672	-71.8692
rta	J1N	45.3814	-71.9827
rta	J1S	45.582	-72.0094
rta	J1T	45.7808	-71.9348
rta	J1X	45.282	-72.139
rta	J1Z	45.8852	-72.414
rta	J2A	45.8459	-72.44
rta	J2B	45.8845	-72.4841
rta	J2C	45.9092	-72.4808
rta	J2E	45.9037	-72.5297
rta	J2G	45.4109	-72.7103
rta	J2H	45.4036	-72.7097
rta	J2J	45.3915	-72.7799
rta	J2K	45.2214	-72.7567
rta	J2L	45.3161	-72.6501
rta	J2N	45.2925	-72.978
rta	J2R	45.648	-73.0056
rta	J2S	45.6352	-72.9726
rta	J2T	45.6414	-72.9243
rta	J2W	45.3988	-73.3723
rta	J2X	45.3167	-73.2338
rta	J2Y	45.3172	-73.3346
rta	J3A	45.334	-73.2662
rta	J3B	45.3234	-73.2662
rta	J3E	45.5806	-73.336
rta	J3G	45.5462	-73.2339
rta	J3H	45.5413	-73.2215
rta	J3L	45.4694	-73.289
rta	J3M	45.4355	-73.1738
rta	J3N	45.5355	-73.2719
rta	J3P	46.045	-73.1172
rta	J3R	46.0476	-73.1263
rta	J3T	46.2326	-72.5995
rta	J3V	45.5392	-73.3598
rta	J3X	45.6911	-73.4312
rta	J3Y	45.4841	-73.4329
rta	J3Z	45.4732	-73.3716
rta	J4B	45.5685	-73.423
rta	J4G	45.5535	-73.4987
rta	J4H	45.5428	-73.5083
rta	J4J	45.529	-73.5039
rta	J4K	45.5284	-73.5246
rta	J4L	45.5291	-73.4708
rta	J4M	45.544	-73.4505
rta	J4N	45.5382	-73.4577
rta	J4P	45.4993	-73.5157
rta	J4R	45.4876	-73.5092
rta	J4S	45.4832	-73.5067
rta	J4T	45.4966	-73.4481
rta	J4V	45.4926	-73.4473
rta	J4W	45.4769	-73.4992
rta	J4X	45.4564	-73.4931
rta	J4Y	45.4605	-73.4651
rta	J4Z	45.4814	-73.4649
rta	J5A	45.384	-73.5591
rta	J5B	45.4024	-73.5376
rta	J5J	45.8184	-73.8983
rta	J5K	45.7334	-74.1309
rta	J5L	45.8052	-74.1051
rta	J5M	45.8522	-73.7577
rta	J5R	45.3973	-73.5284
rta	J5T	45.905	-73.2594
rta	J5V	46.2675	-72.9382
rta	J5W	45.8313	-73.4233
rta	J5X	45.8508	-73.4824
rta	J5Y	45.7599	-73.4343
rta	J5Z	45.7289	-73.4907
rta	J6A	45.7134	-73.4778
rta	J6E	46.0551	-73.432
rta	J6J	45.3944	-73.7494
rta	J6K	45.3631	-73.7085
rta	J6N	45.3577	-73.7851
rta	J6R	45.3063	-73.748
rta	J6S	45.2788	-74.1422
rta	J6T	45.2571	-74.12
rta	J6V	45.7005	-73.5298
rta	J6W	45.6908	-73.6308
rta	J6X	45.6986	-73.6632
rta	J6Y	45.6999	-73.8112
rta	J6Z	45.6693	-73.7484
rta	J7A	45.6179	-73.8038
rta	J7B	45.6462	-73.8092
rta	J7C	45.6488	-73.8466
rta	J7E	45.6318	-73.8261
rta	J7G	45.5999	-73.8301
rta	J7H	45.62	-73.8564
rta	J7J	45.6563	-73.9753
rta	J7K	45.7551	-73.5959
rta	J7L	45.7567	-73.6263
rta	J7M	45.7915	-73.7559
rta	J7N	45.72	-74.0327
rta	J7P	45.5618	-73.8881
rta	J7R	45.5321	-73.894
rta	J7T	45.3135	-74.0573
rta	J7V	45.4042	-74.034
rta	J7X	45.2616	-74.2078
rta	J7Y	45.814	-74.0176
rta	J7Z	45.795	-74.0017
rta	J8A	45.9261	-74.0244
rta	J8B	45.9454	-74.1327
rta	J8C	46.0469	-74.2901
rta	J8E	46.156	-74.5627
rta	J8G	45.6068	-74.4387
rta	J8H	45.6484	-74.3406
rta	J8L	45.599	-75.4206
rta	J8M	45.5555	-75.4352
rta	J8N	45.688	-75.7837
rta	J8P	45.495	-75.5883
rta	J8R	45.4914	-75.6057
rta	J8T	45.4979	-75.7043
rta	J8V	45.488	-75.7474
rta	J8X	45.4465	-75.7156
rta	J8Y	45.4603	-75.7606
rta	J8Z	45.4659	-75.7558
rta	J9A	45.4206	-75.7538
rta	J9B	45.4039	-75.826
